li_1,li_2,li_3,li_4,li_5,li_6,li_7
2.29027475,1.88963959,1.95477903,2.11660086,2.33518117,2.82456838,3.77680905
2.27400976,1.94060928,2.04225406,2.2164099,2.43542158,2.88971062,3.8584368
2.26026611,1.99080953,2.12628745,2.311986,2.53132545,2.95479752,3.93877951
2.24893328,2.04020908,2.20694154,2.40341544,2.62298752,3.01974088,4.01776704
2.23990075,2.08877667,2.28427867,2.4907845,2.71050253,3.0844525,4.09532925
2.233058,2.13648104,2.35836118,2.57417946,2.79396522,3.14884418,4.171396
2.22829451,2.18329093,2.42925141,2.6536866,2.87347033,3.21282772,4.24589715
2.22549976,2.22917508,2.4970117,2.7293922,2.9491126,3.27631492,4.31876256
2.22456323,2.27410223,2.56170439,2.80138254,3.02098677,3.33921758,4.38992209
2.2253744,2.31804112,2.62339182,2.8697439,3.08918758,3.4014475,4.4593056
2.22782275,2.36096049,2.68213633,2.93456256,3.15380977,3.46291648,4.52684295
2.23179776,2.40282908,2.73800026,2.9959248,3.21494808,3.52353632,4.592464
2.23718891,2.44361563,2.79104595,3.0539169,3.27269725,3.58321882,4.65609861
2.24388568,2.48328888,2.84133574,3.10862514,3.32715202,3.64187578,4.71767664
2.25177755,2.52181757,2.88893197,3.1601358,3.37840713,3.699419,4.77712795
2.260754,2.55917044,2.93389698,3.20853516,3.42655732,3.75576028,4.8343824
2.27070451,2.59531623,2.97629311,3.2539095,3.47169733,3.81081142,4.88936985
2.28151856,2.63022368,3.0161827,3.2963451,3.5139219,3.86448422,4.94202016
2.29308563,2.66386153,3.05362809,3.33592824,3.55332577,3.91669048,4.99226319
2.3052952,2.69619852,3.08869162,3.3727452,3.59000368,3.967342,5.0400288
2.31803675,2.72720339,3.12143563,3.40688226,3.62405037,4.01635058,5.08524685
2.33119976,2.75684488,3.15192246,3.4384257,3.65556058,4.06362802,5.1278472
2.34467371,2.78509173,3.18021445,3.4674618,3.68462905,4.10908612,5.16775971
2.35834808,2.81191268,3.20637394,3.49407684,3.71135052,4.15263668,5.20491424
2.37211235,2.83727647,3.23046327,3.5183571,3.73581973,4.1941915,5.23924065
2.385856,2.86115184,3.25254478,3.54038886,3.75813142,4.23366238,5.2706688
2.39946851,2.88350753,3.27268081,3.5602584,3.77838033,4.27096112,5.29912855
2.41283936,2.90431228,3.2909337,3.578052,3.7966612,4.30599952,5.32454976
2.42585803,2.92353483,3.30736579,3.59385594,3.81306877,4.33868938,5.34686229
2.438414,2.94114392,3.32203942,3.6077565,3.82769778,4.3689425,5.365996
2.45039675,2.95710829,3.33501693,3.61983996,3.84064297,4.39667068,5.38188075
2.46169576,2.97139668,3.34636066,3.6301926,3.85199908,4.42178572,5.3944464
2.47220051,2.98397783,3.35613295,3.6389007,3.86186085,4.44419942,5.40362281
2.48180048,2.99482048,3.36439614,3.64605054,3.87032302,4.46382358,5.40933984
2.49038515,3.00389337,3.37121257,3.6517284,3.87748033,4.48057,5.41152735
2.497844,3.01116524,3.37664458,3.65602056,3.88342752,4.49435048,5.4101152
2.50406651,3.01660483,3.38075451,3.6590133,3.88825933,4.50507682,5.40503325
2.50894216,3.02018088,3.3836047,3.6607929,3.8920705,4.51266082,5.39621136
2.51236043,3.02186213,3.38525749,3.66144564,3.89495577,4.51701428,5.38357939
2.5142108,3.02161732,3.38577522,3.6610578,3.89700988,4.518049,5.3670672
2.51438275,3.01941519,3.38522023,3.65971566,3.89832757,4.51567678,5.34660465
2.51276576,3.01522448,3.38365486,3.6575055,3.89900358,4.50980942,5.3221216
2.50924931,3.00901393,3.38114145,3.6545136,3.89913265,4.50035872,5.29354791
2.50372288,3.00075228,3.37774234,3.65082624,3.89880952,4.48723648,5.26081344
2.49607595,2.99040827,3.37351987,3.6465297,3.89812893,4.4703545,5.22384805
