age,p1_wealth,p2_wealth,p3_wealth,p4_wealth,p5_wealth,p6_wealth,p7_wealth,p8_wealth,p9_wealth,p10_wealth,p11_wealth,p12_wealth,p13_wealth,p14_wealth,p15_wealth,p16_wealth,p17_wealth,p18_wealth,p19_wealth,p20_wealth,p21_wealth,p22_wealth,p23_wealth,p24_wealth,p25_wealth,p26_wealth,p27_wealth,p28_wealth,p29_wealth,p30_wealth,p31_wealth,p32_wealth,p33_wealth,p34_wealth,p35_wealth,p36_wealth,p37_wealth,p38_wealth,p39_wealth,p40_wealth,p41_wealth,p42_wealth,p43_wealth,p44_wealth,p45_wealth,p46_wealth,p47_wealth,p48_wealth,p49_wealth,p50_wealth,p51_wealth,p52_wealth,p53_wealth,p54_wealth,p55_wealth,p56_wealth,p57_wealth,p58_wealth,p59_wealth,p60_wealth,p61_wealth,p62_wealth,p63_wealth,p64_wealth,p65_wealth,p66_wealth,p67_wealth,p68_wealth,p69_wealth,p70_wealth,p71_wealth,p72_wealth,p73_wealth,p74_wealth,p75_wealth,p76_wealth,p77_wealth,p78_wealth,p79_wealth,p80_wealth,p81_wealth,p82_wealth,p83_wealth,p84_wealth,p85_wealth,p86_wealth,p87_wealth,p88_wealth,p89_wealth,p90_wealth,p91_wealth,p92_wealth,p93_wealth,p94_wealth,p95_wealth,p96_wealth,p97_wealth,p98_wealth,p99_wealth
18.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,800.00000,800.00000,800.00000,800.00000,800.00000,800.00000,800.00000,800.00000,800.00000,800.00000,800.00000,800.00000,1000.00000,1200.00000,1200.00000,1200.00000,1200.00000,1200.00000,1200.00000,1200.00000,1200.00000,1200.00000,1200.00000,1200.00000,1200.00000,6751.68329,6751.68329,6751.68329,6751.68329,6751.68329,6966.02244,6966.02244,7049.07887,7132.13529,7132.13529,7132.13529,7132.13529,7132.13529,7132.13529,7132.13529,7132.13529,7132.13529,7134.81453,7137.49377,7137.49377,7287.53117,7287.53117,7555.45511,7823.37905,7823.37905,10716.95761,10716.95761,10716.95761,10716.95761,10716.95761,10716.95761,10716.95761,10716.95761,10716.95761,10716.95761,10824.12718,10824.12718,14085.65928,17347.19138,17347.19138,19612.03242,19612.03242,20147.88030,20683.72818,20683.72818,20683.72818,20683.72818,20683.72818,20683.72818,20683.72818,20683.72818,20683.72818,22361.39054,24039.05291,24039.05291,27777.96212,27777.96212,28743.56630,29709.17048,29709.17048,37759.61463,37759.61463
19.00000,-24799.00000,-22299.00000,-20799.00000,-8144.88778,-8144.88778,-8144.88778,-6740.96633,-6682.02307,-6590.92893,-3010.00000,-3010.00000,-2967.86471,-2910.00000,-2100.00000,-2100.00000,-2100.00000,-535.84788,-535.84788,-535.84788,-273.53792,0.00000,151.57740,404.20640,428.67830,428.67830,428.67830,1414.63840,1419.99688,1425.35536,1489.65711,1553.95885,1553.95885,1553.95885,1768.29800,1768.29800,1768.29800,2271.99501,2271.99501,2271.99501,2560.99751,3054.33292,3054.33292,3161.50249,3180.75125,3600.00000,4275.00000,4400.00000,4422.52123,4435.04246,4445.00000,4491.18223,4491.18223,4491.18223,4519.25212,4547.32201,4573.66101,4810.00000,4810.00000,4810.00000,5548.82756,6287.65513,6287.65513,6287.65513,8432.19464,8432.19464,8726.71130,9030.00000,9605.74000,9645.26185,9645.26185,9645.26185,10000.00000,10000.00000,10000.00000,10001.00000,10055.50000,10150.00000,10900.50000,11001.00000,12070.50000,14130.00000,14140.00000,14150.00000,15017.39059,16055.97649,16055.97649,16055.97649,17298.15657,19491.73089,20205.11907,21433.91521,22425.16029,26792.39401,43900.00000,44400.00000,45400.00000,56585.53616,56585.53616,56585.53616
20.00000,-60497.22569,-40000.00000,-23500.00000,-23500.00000,-20900.00000,-15045.46048,-14820.90137,-10738.39152,-8400.00000,-6400.00000,-6170.00000,-4822.63092,-4543.99002,-4265.34913,-3480.66623,-3000.00000,-3000.00000,-2797.12594,-2760.00000,-2580.00000,-2400.59850,-2250.00000,-514.41397,-100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,112.27956,112.27956,279.57609,321.50873,353.65960,353.65960,857.35661,1073.83915,1300.00000,1400.00000,1571.91378,1661.73743,1714.71322,1900.00000,1900.00000,2239.84414,3065.04988,3172.21945,3311.53990,3311.53990,3400.00000,5613.97779,5755.00623,6287.65513,6287.65513,6399.93468,6810.00000,7880.00000,8080.00000,8196.40758,8982.36447,10260.00000,10360.00000,10600.00000,10936.02874,11295.32332,12860.34913,12912.14892,14820.00000,15600.00000,15753.92768,16120.00000,17468.64090,19000.00000,19458.00000,19513.00000,20210.32005,20700.00000,20800.00000,25827.86783,25827.86783,27017.45012,33200.00000,34200.00000,34200.00000,35170.00000,36212.59975,49728.61528,52535.60418,76013.25931,127328.17332,140167.08853,608000.00000,2304038.71571
21.00000,-69927.70738,-43725.18703,-36010.00000,-22344.85661,-19472.71197,-14440.00000,-10900.00000,-9591.67706,-9476.39451,-9150.00000,-9050.00000,-8800.00000,-8734.32045,-7662.62469,-7578.87002,-7126.77681,-6162.25062,-5894.32668,-4928.72880,-3220.44576,-3150.78554,-3000.00000,-2430.00000,-2245.59112,-2200.00000,-2100.00000,-1500.37406,-1122.79556,-1000.00000,-544.50000,-321.50873,-258.24298,0.00000,0.00000,1.07170,1.07170,112.27956,200.00000,500.00000,535.84788,868.07357,898.23645,1000.00000,1253.88404,1350.00000,1714.71322,1796.47289,2068.37282,2144.46322,2645.00000,2900.00000,3215.08728,3450.86035,3858.10474,3933.12344,4051.00998,4300.00000,4400.00000,4603.46179,4800.00000,5358.47880,5519.23317,5613.97779,6100.00000,6186.60353,6590.92893,6870.00000,7019.60723,7962.69950,8740.00000,9501.00000,9768.32136,10079.29863,10234.69451,10505.00000,11627.89900,12699.59476,12912.14892,13664.12095,15000.00000,17940.00000,26567.33791,27081.82887,30315.48008,31500.00000,31950.00000,32950.00000,34582.10320,38000.00000,39000.00000,40600.00000,42351.84847,50750.35924,59171.32593,62158.35411,91560.00000,184706.76434,223900.00000,511252.46259
22.00000,-106334.35336,-67200.00000,-41000.00000,-33375.00000,-28308.84352,-27419.87531,-24824.76060,-22023.63488,-19768.32136,-19270.00000,-18770.16833,-17245.02580,-15539.58853,-14039.21446,-13878.46010,-12646.00998,-11587.25016,-11250.00000,-9690.00000,-9200.00000,-9044.70698,-8929.95428,-8600.00000,-7840.96298,-6858.85287,-6171.89589,-5164.85957,-4801.19701,-4500.00000,-3985.92423,-3113.05356,-2894.63423,-1841.38472,-1377.12905,-898.23645,-800.00000,-800.00000,-165.00000,0.00000,0.00000,0.00000,1.03585,33.11398,107.16958,107.16958,336.83867,449.11822,650.00000,857.35661,1010.51600,1286.03491,1714.71322,2010.00000,2194.49132,2521.73317,2700.00000,3008.93207,3200.00000,4080.46936,4586.85786,4919.08354,5149.49813,5494.39727,5890.03117,6478.27618,7035.53928,8178.56115,8420.96669,9337.57481,9966.77057,10397.08687,10888.87518,11651.33316,12662.08541,13159.85349,13922.66492,14583.14731,15143.06110,15494.57871,16229.01580,16500.00000,18500.00000,19033.85256,22300.00000,26380.31965,27859.85957,29200.00000,30100.00000,30482.98942,31995.47693,33511.28429,37541.50249,38527.46259,49523.59695,54744.85844,70249.65711,75650.00000,183608.27618,223984.41397
23.00000,-78823.22319,-60872.31920,-56300.00000,-53900.00000,-48226.30923,-40735.02286,-30864.83791,-26003.94513,-26000.00000,-21771.00588,-19472.71197,-18550.00000,-15000.00000,-14300.00000,-13930.97319,-10341.86409,-10000.00000,-9992.88047,-8623.06989,-7556.41411,-5412.06359,-4254.63217,-4072.44389,-2400.00000,-2245.59112,-1821.88279,-1690.00000,-785.95689,-289.00000,-117.88653,-101.05160,0.00000,0.00000,0.00000,0.00000,1.12280,107.16958,200.00000,525.13092,675.16833,898.23645,1661.12843,2679.23940,2689.95636,3031.54801,3368.38668,3511.00000,3675.91646,4104.59476,4154.34357,4180.68516,4400.00000,4550.00000,5063.80797,5361.34879,5563.45199,5838.53690,6644.51372,6900.00000,7073.61202,7759.07731,8069.86908,8667.98171,9109.41397,9460.00000,10001.00000,10161.29980,10850.00000,11040.00000,11620.93403,11895.82294,12000.00000,12040.00000,12777.41346,12912.14892,13350.00000,13899.89401,14383.01110,15861.09726,16066.78429,16718.45387,17382.90524,19933.54115,23354.14762,24241.75810,26834.81385,31293.51621,31900.00000,32365.21197,35687.46883,40081.42145,41796.13466,45800.00000,55900.00000,61200.00000,77720.00000,100150.00000,193700.00000,388350.00000
24.00000,-43200.00000,-39331.52841,-28462.86741,-28250.00000,-26092.37133,-24990.00000,-19011.88279,-18500.00000,-16572.46244,-15003.74065,-13150.00000,-11665.84585,-10200.00000,-8645.52580,-8158.85910,-7859.56891,-6624.49379,-6175.37557,-5150.00000,-2920.37095,-1480.00000,-1296.75187,-782.33791,-557.28180,-107.16958,0.00000,0.00000,112.27956,535.84788,696.13325,729.81711,1122.79556,1286.03491,1571.91378,1919.98040,2021.03201,2582.42978,2925.72943,3526.95075,3858.10474,4042.06401,4609.36347,4900.00000,5300.00000,5420.00000,5520.00000,5600.00000,6162.25062,6215.83541,7017.47224,7544.73815,7812.66209,8129.03984,8196.40758,8400.00000,8600.61398,8746.57740,8900.00000,9038.50425,9445.00000,9602.39401,10590.00000,11100.00000,11710.75767,12100.08105,12530.00000,13024.42848,13546.23441,14280.00000,14467.89277,14700.00000,15100.00000,15700.00000,16100.00000,17093.54738,18347.43142,19236.93890,21241.00998,23952.40025,25013.03070,25487.45918,26778.67407,28710.00000,32793.89027,34294.26434,39063.31047,40188.59102,42985.71696,45621.00000,55466.10059,58990.00000,61800.00000,62500.00000,69613.32462,75756.70823,86455.25800,93451.87032,100525.06234,105712.06983
25.00000,-154220.00000,-119094.92489,-96178.66754,-86292.94264,-83313.62843,-33511.92643,-31213.71653,-24981.22818,-22900.00000,-21700.00000,-19490.00000,-17998.41280,-16235.62378,-13192.57481,-12035.14339,-10700.00000,-8465.87851,-6070.00000,-5980.00000,-5522.28834,-5030.00000,-3697.35037,-3022.18204,-2300.00000,-1661.73743,-1392.13279,-920.69236,0.00000,0.00000,0.00000,0.00000,5.00000,53.58479,500.00000,615.00000,741.04507,857.35661,964.52618,1822.95449,1910.00000,2000.00000,2300.00000,2530.00000,2915.01247,3420.00000,3750.93516,3980.00000,4042.06401,4401.35859,4684.38217,4800.00000,5101.27182,5466.72007,5578.17643,6150.00000,6287.65513,6399.93468,7341.11596,7663.69638,8101.00000,8477.10647,9021.00000,9645.26185,10490.00000,11145.63591,11777.93641,12500.00000,12800.00000,13147.93599,14350.00623,16055.97649,16700.00000,17082.83042,17810.00000,18672.09014,19504.86284,21000.00000,24027.82495,25500.00000,27221.07232,28680.00000,33212.29262,35400.00000,37520.06858,39500.00000,44100.28055,46618.76559,49619.51372,54298.39321,62694.20200,66980.98504,74500.00000,79400.00000,97524.31421,124630.30699,179500.00000,280355.61097,466521.55454,1456052.50816
26.00000,-106933.92619,-50000.00000,-45171.97631,-39099.00000,-32461.66459,-29529.52319,-27171.65251,-23930.96633,-21500.00000,-19320.00000,-17403.33116,-15880.00000,-12878.46506,-11000.00000,-7500.00000,-5722.85536,-4501.12219,-3500.00000,-3214.01559,-2572.06983,-1336.12671,-428.67830,0.00000,0.00000,0.00000,10.71696,428.67830,500.00000,976.83214,1457.50623,2300.00000,2919.26845,3300.00000,3400.00000,3817.50490,4154.34357,5140.00000,5679.98753,6000.00000,6100.00000,6197.83148,6418.38591,6590.00000,6714.31744,7233.94638,7501.87032,8010.00000,8584.28304,9430.92269,9930.00000,10395.44888,10700.00000,11733.21359,12799.86937,13835.59227,15200.00000,15432.41895,15700.00000,15999.83671,16244.88778,17554.37656,23080.00000,25891.66558,29155.48317,31000.00000,35515.99751,39634.68321,40400.00000,41300.00000,43200.00000,44800.00000,47079.59476,51000.00000,55376.27694,61529.19660,64050.00000,65683.54017,68052.68080,78290.00000,82759.53242,90400.00000,94309.22693,101051.60026,108241.27182,115800.00000,136868.77858,147454.61970,150626.83915,160600.00000,168200.00000,209479.96734,231271.94514,240200.00000,282158.52384,322130.04572,455470.69825,505572.47506,1068500.00000,2424879.11169
27.00000,-79300.00000,-60014.96259,-55950.00000,-46082.91771,-40503.66958,-33222.56858,-22955.72319,-19610.00000,-12799.00000,-10781.25935,-10072.86845,-7971.84847,-7174.66362,-6100.00000,-5080.00000,-3800.00000,-2679.23940,-2582.42978,-2132.67456,-1290.00000,-492.98005,0.00000,0.00000,0.00000,0.00000,75.01870,800.00000,1000.00000,1501.44576,1852.61267,2133.31156,2500.00000,3460.00000,3670.00000,4090.00000,4400.00000,4608.29177,5272.74314,5793.62508,6054.33292,6287.65513,6430.17456,7129.75180,7500.27433,7769.79426,8460.00000,8680.73566,9023.67830,9460.00000,9830.00000,10100.00000,10824.12718,11920.00000,12721.02868,13192.84781,14100.00000,14682.23192,15300.00000,16300.00000,17382.52805,18270.00000,18550.00000,18900.00000,21653.61284,23578.70673,24681.15337,26363.71571,26674.50748,28292.76808,30436.15960,32370.19595,35258.79052,39792.06359,44743.29800,47368.95262,51100.00000,53627.65586,55600.00000,59050.43641,62150.00000,74960.00000,78898.24190,80700.00000,86000.00000,87634.19334,93921.84847,97524.31421,121205.78054,123673.69077,142321.19701,153588.32724,176840.30046,200000.00000,234000.00000,268572.69758,296313.16085,380500.00000,432429.23940,783409.60100
