age,mean_wealth,sd_wealth,median_wealth,p10_wealth,p90_wealth,p99_wealth,num_obs
18.00000,554.72635,532.92794,800.00000,0.00000,1200.00000,1200.00000,15.00000
19.00000,7637.08295,17217.83524,4810.00000,-3010.00000,44400.00000,46400.00000,55.00000
20.00000,21184.68416,103760.60948,3400.00000,-20900.00000,20800.00000,608000.00000,125.00000
21.00000,12853.58408,51129.05809,2460.00000,-9100.00000,38000.00000,222950.00000,190.00000
22.00000,7323.09461,68141.61351,60.00000,-27185.00000,31000.00000,308950.00000,200.00000
23.00000,29018.32142,110606.34282,6850.00000,-26000.00000,77520.00000,683700.00000,265.00000
24.00000,12837.68671,33909.17744,8400.00000,-25250.00000,62000.00000,103980.00000,250.00000
25.00000,71109.35450,793277.66436,6380.00000,-21900.00000,55660.00000,715500.00000,340.00000
26.00000,85143.63488,506964.96507,13800.00000,-20600.00000,167200.00000,1068500.00000,375.00000
27.00000,62213.24702,450864.83251,10560.00000,-12200.00000,140710.00000,488751.00000,370.00000
28.00000,60029.87928,505332.67198,7700.00000,-37799.00000,98860.00000,259410.00000,385.00000
29.00000,46054.28508,135325.25802,9720.00000,-27900.00000,150760.00000,594400.00000,375.00000
30.00000,80896.13515,386128.28717,20100.00000,-4780.00000,152410.00000,492520.00000,415.00000
31.00000,72303.19254,159651.64517,14890.00000,-10000.00000,266200.00000,707800.00000,405.00000
32.00000,130403.12448,619470.90485,17400.00000,-24000.00000,226300.00000,1526000.00000,485.00000
33.00000,121362.32649,479726.70968,22900.00000,-17299.00000,292000.00000,1040600.00000,440.00000
34.00000,166985.23516,1045399.62051,21451.00000,-17470.00000,277300.00000,2753000.00000,470.00000
35.00000,165660.69716,403847.61179,40820.00000,0.00000,430200.00000,1553000.00000,420.00000
36.00000,177719.84486,592728.32930,22620.00000,-17000.00000,431000.00000,2245500.00000,495.00000
37.00000,191756.91579,625110.99111,36320.00000,-5600.00000,424300.00000,2258300.00000,450.00000
38.00000,254562.39872,6477156.66190,24460.00000,-1200.00000,520800.00000,1539000.00000,445.00000
39.00000,453849.21433,2049830.36746,54610.00000,-4999.00000,937990.00000,4305100.00000,565.00000
40.00000,339756.17443,1374923.06893,46430.00000,-6850.00000,660000.00000,5453900.00000,505.00000
41.00000,350541.37928,1825464.08955,28000.00000,-9580.00000,507400.00000,3814000.00000,575.00000
42.00000,434193.87521,1846206.55722,58700.00000,-4000.00000,959000.00000,7676000.00000,540.00000
43.00000,537828.45968,2405816.52204,84025.00000,-640.00000,609900.00000,14673690.00000,610.00000
44.00000,490631.44195,2465549.00516,59000.00000,0.00000,960200.00000,5500050.00000,555.00000
45.00000,347512.64705,2615117.30085,45000.00000,-7430.00000,765900.00000,4792800.00000,585.00000
46.00000,421498.83388,2477306.46233,71900.00000,-5440.00000,1096700.00000,4376900.00000,575.00000
47.00000,392877.62642,3363681.35291,77660.00000,50.00000,759000.00000,5216000.00000,565.00000
48.00000,548116.18249,2971199.51307,97610.00000,-2000.00000,911200.00000,7859200.00000,630.00000
49.00000,443824.81301,3626506.70892,89500.00000,0.00000,743000.00000,3534700.00000,655.00000
50.00000,562412.49732,3518712.21575,129410.00000,-1050.00000,848200.00000,6116000.00000,675.00000
51.00000,667407.20498,5949431.49296,118620.00000,0.00000,1022950.00000,7418051.00000,695.00000
52.00000,733871.42327,7769209.97098,119500.00000,100.00000,1067000.00000,8659000.00000,820.00000
53.00000,590487.73322,4259135.28548,134200.00000,30.00000,998000.00000,5251050.00000,795.00000
54.00000,475693.71452,3426167.55774,123580.00000,0.00000,1018000.00000,4703100.00000,640.00000
55.00000,870277.20674,3948633.79956,91360.00000,-2800.00000,1590000.00000,8985100.00000,660.00000
56.00000,803668.22427,5317688.09085,172100.00000,0.00000,1221000.00000,14789000.00000,770.00000
57.00000,945692.44019,3200686.44865,184300.00000,5.00000,1973020.00000,18313700.00000,645.00000
58.00000,692423.29396,2389791.52083,113600.00000,-1999.00000,1348100.00000,9433300.00000,655.00000
59.00000,610158.70541,2147028.36432,178440.00000,70.00000,1698800.00000,5434000.00000,610.00000
60.00000,671984.63159,2922070.22863,141580.00000,7100.00000,1122100.00000,7885800.00000,595.00000
61.00000,747169.75528,4078980.05742,189690.00000,1900.00000,1512500.00000,9455000.00000,620.00000
62.00000,708934.04341,4407214.25628,162810.00000,1000.00000,954400.00000,10978000.00000,660.00000
63.00000,1241136.61222,4578640.91132,300000.00000,1470.00000,2404400.00000,14456000.00000,635.00000
64.00000,686550.19462,3088913.24897,143810.00000,0.00000,1117500.00000,10604100.00000,555.00000
65.00000,1096115.62067,6093378.61733,302400.00000,17831.00000,2059700.00000,10600500.00000,550.00000
